ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
688005.SH,20220430,20220331,0.65,5.2392,13.5875,5.6343,270.7517,144.6613
688005.SH,20220430,20220331,0.65,5.2392,13.5875,5.6343,270.7517,144.6613
688005.SH,20220831,20220630,1.64,12.772,12.8555,6.3636,221.6158,129.2722
688005.SH,20220831,20220630,1.64,12.772,12.8555,6.3636,221.6158,129.2722
688005.SH,20221021,20220930,2.05,15.4957,10.0535,4.7693,208.4138,67.3181
688005.SH,20221021,20220930,2.05,15.4957,10.0535,4.7693,208.4138,67.3181
688005.SH,20230329,20221231,3.0,21.8375,9.2647,4.5624,193.6249,48.5366
688005.SH,20230329,20221231,3.0,21.8375,9.2647,4.5624,193.6249,48.5366
688005.SH,20230421,20230331,0.69,4.38,8.7152,3.79,61.9114,6.287
688005.SH,20230421,20230331,0.69,4.38,8.7152,3.79,61.9114,6.287
688005.SH,20230729,20230630,0.84,5.3519,7.8958,3.071,11.6071,-48.4639
688005.SH,20230729,20230630,0.84,5.3519,7.8958,3.071,11.6071,-48.4639
688005.SH,20231026,20230930,1.36,7.7931,8.7174,3.47,-3.6603,-32.9187
688005.SH,20240412,20231231,1.27,7.4177,8.5813,2.7699,-24.7841,-57.0724
688005.SH,20240412,20231231,1.27,7.4177,8.5813,2.7699,-24.7841,-57.0724
688005.SH,20240430,20240331,,-0.4327,5.1528,-1.0182,-55.8841,-111.9775
688005.SH,20240430,20240331,-0.08,-0.4327,5.1528,-1.0182,-55.8841,-111.9775
688005.SH,20240803,20240630,0.02,0.1203,7.7917,0.3356,-46.5833,-97.2902
688005.SH,20241030,20240930,0.24,1.357,9.1082,1.2875,-39.0377,-81.1018
688005.SH,20250410,20241231,0.42,3.4531,10.0157,2.1783,-33.4097,-49.0607
688005.SH,20250430,20250331,-0.02,-0.1829,8.1517,-0.1366,-19.7144,58.5691
688005.SH,20250430,20250331,-0.02,-0.1829,8.1517,-0.1366,-19.7144,58.5691
688005.SH,20250802,20250630,-0.1,-0.817,8.5672,-0.5495,-9.2804,-765.4545
