ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
002507.SZ,20220428,20220331,0.24,2.9445,52.3705,31.1074,-2.8816,5.3918
002507.SZ,20220428,20220331,0.24,2.9445,52.3705,31.1074,-2.8816,5.3918
002507.SZ,20220730,20220630,0.58,7.1016,55.1014,36.3104,5.5767,37.2442
002507.SZ,20220730,20220630,0.58,7.1016,55.1014,36.3104,5.5767,37.2442
002507.SZ,20221029,20220930,0.785,9.4634,54.581,34.0441,4.6309,38.2869
002507.SZ,20221029,20220930,0.785,9.4634,54.581,34.0441,4.6309,38.2869
002507.SZ,20230325,20221231,1.01,12.0463,53.1456,35.2699,1.1779,21.1374
002507.SZ,20230325,20221231,1.01,12.0463,53.1456,35.2699,1.1779,21.1374
002507.SZ,20230428,20230331,0.29,3.3142,56.2793,34.3797,10.4063,22.0204
002507.SZ,20230428,20230331,0.29,3.3142,56.2793,34.3797,10.4063,22.0204
002507.SZ,20230828,20230630,0.41,6.0151,53.0524,35.1911,-5.9714,-8.87
002507.SZ,20231028,20230930,0.57,8.3289,50.7322,33.7839,-4.6079,-5.337
002507.SZ,20240330,20231231,0.72,10.3325,50.715,33.74,-3.8641,-8.0358
002507.SZ,20240427,20240331,0.24,3.2413,52.1098,36.2851,-1.5263,3.9313
002507.SZ,20240830,20240630,0.39,5.4026,50.8577,34.3181,-2.3199,-4.7431
002507.SZ,20241030,20240930,0.58,7.979,52.6343,34.18,0.5561,1.7354
002507.SZ,20241030,20240930,0.58,7.979,52.6343,34.18,0.5561,1.7354
002507.SZ,20250329,20241231,0.69,9.4363,50.9883,33.4857,-2.5601,-3.2945
002507.SZ,20250329,20241231,0.69,9.4363,50.9883,33.4857,-2.5601,-3.2945
002507.SZ,20250426,20250331,0.24,3.0822,55.9566,38.1867,-4.7543,0.2373
002507.SZ,20250827,20250630,0.38,5.0798,54.1493,33.574,0.5147,-1.6647
