entry_date,month,ts_code,qlib_code,score,rank,n_stocks
20241202,2024-12,601155.SH,SH601155,-0.018008,12,16
20241202,2024-12,603259.SH,SH603259,-0.018008,13,16
20241202,2024-12,002371.SZ,SZ002371,-0.022882,14,16
20241202,2024-12,002508.SZ,SZ002508,-0.04221,15,16
20241202,2024-12,300476.SZ,SZ300476,-0.04221,16,16
20250102,2025-01,603345.SH,SH603345,0.008318,1,16
20250102,2025-01,601899.SH,SH601899,0.008318,2,16
20250102,2025-01,601021.SH,SH601021,0.007721,3,16
20250102,2025-01,002415.SZ,SZ002415,0.007721,4,16
20250102,2025-01,688169.SH,SH688169,0.000555,5,16
20250102,2025-01,688005.SH,SH688005,0.000555,6,16
20250102,2025-01,603259.SH,SH603259,-0.005286,7,16
20250102,2025-01,601233.SH,SH601233,-0.006139,8,16
20250102,2025-01,002507.SZ,SZ002507,-0.006139,9,16
20250102,2025-01,002508.SZ,SZ002508,-0.006139,10,16
20250102,2025-01,688981.SH,SH688981,-0.006139,11,16
20250102,2025-01,002371.SZ,SZ002371,-0.006139,12,16
20250102,2025-01,300012.SZ,SZ300012,-0.006139,13,16
20250102,2025-01,300476.SZ,SZ300476,-0.006139,14,16
20250102,2025-01,601155.SH,SH601155,-0.006736,15,16
20250102,2025-01,600418.SH,SH600418,-0.021419,16,16
20250205,2025-02,688981.SH,SH688981,0.059128,1,16
20250205,2025-02,601899.SH,SH601899,0.027211,2,16
20250205,2025-02,601021.SH,SH601021,0.001844,3,16
20250205,2025-02,300476.SZ,SZ300476,-0.002795,4,16
20250205,2025-02,688005.SH,SH688005,-0.006244,5,16
20250205,2025-02,002415.SZ,SZ002415,-0.006244,6,16
20250205,2025-02,603345.SH,SH603345,-0.006244,7,16
20250205,2025-02,601155.SH,SH601155,-0.006244,8,16
20250205,2025-02,300012.SZ,SZ300012,-0.006244,9,16
20250205,2025-02,002507.SZ,SZ002507,-0.006244,10,16
20250205,2025-02,002371.SZ,SZ002371,-0.006244,11,16
20250205,2025-02,600418.SH,SH600418,-0.006345,12,16
20250205,2025-02,603259.SH,SH603259,-0.006345,13,16
20250205,2025-02,601233.SH,SH601233,-0.006345,14,16
20250205,2025-02,688169.SH,SH688169,-0.006345,15,16
20250205,2025-02,002508.SZ,SZ002508,-0.006345,16,16
20250303,2025-03,002415.SZ,SZ002415,0.093075,1,16
20250303,2025-03,603345.SH,SH603345,0.022475,2,16
20250303,2025-03,688169.SH,SH688169,0.018595,3,16
20250303,2025-03,688981.SH,SH688981,0.015838,4,16
20250303,2025-03,601899.SH,SH601899,0.01332,5,16
20250303,2025-03,601021.SH,SH601021,0.01332,6,16
20250303,2025-03,603259.SH,SH603259,-0.002984,7,16
20250303,2025-03,600418.SH,SH600418,-0.002984,8,16
20250303,2025-03,002507.SZ,SZ002507,-0.002984,9,16
20250303,2025-03,002508.SZ,SZ002508,-0.002984,10,16
20250303,2025-03,601155.SH,SH601155,-0.002984,11,16
20250303,2025-03,002371.SZ,SZ002371,-0.002984,12,16
20250303,2025-03,300012.SZ,SZ300012,-0.002984,13,16
20250303,2025-03,688005.SH,SH688005,-0.013438,14,16
20250303,2025-03,300476.SZ,SZ300476,-0.014336,15,16
20250303,2025-03,601233.SH,SH601233,-0.01916,16,16
20250401,2025-04,603259.SH,SH603259,0.082442,1,16
20250401,2025-04,601155.SH,SH601155,0.077406,2,16
20250401,2025-04,002371.SZ,SZ002371,0.043892,3,16
20250401,2025-04,601233.SH,SH601233,0.034664,4,16
20250401,2025-04,600418.SH,SH600418,0.029189,5,16
20250401,2025-04,601899.SH,SH601899,0.027457,6,16
20250401,2025-04,002415.SZ,SZ002415,0.027457,7,16
20250401,2025-04,300012.SZ,SZ300012,0.027457,8,16
20250401,2025-04,002508.SZ,SZ002508,0.027457,9,16
20250401,2025-04,603345.SH,SH603345,0.008651,10,16
20250401,2025-04,002507.SZ,SZ002507,0.000301,11,16
20250401,2025-04,688005.SH,SH688005,-0.038771,12,16
20250401,2025-04,688981.SH,SH688981,-0.041454,13,16
20250401,2025-04,688169.SH,SH688169,-0.054732,14,16
20250401,2025-04,300476.SZ,SZ300476,-0.096562,15,16
20250401,2025-04,601021.SH,SH601021,-0.102137,16,16
20250506,2025-05,688981.SH,SH688981,0.071949,1,16
20250506,2025-05,600418.SH,SH600418,0.053296,2,16
20250506,2025-05,002508.SZ,SZ002508,0.051377,3,16
20250506,2025-05,002371.SZ,SZ002371,0.026038,4,16
20250506,2025-05,002507.SZ,SZ002507,0.012895,5,16
20250506,2025-05,601021.SH,SH601021,0.012895,6,16
20250506,2025-05,601155.SH,SH601155,0.009549,7,16
20250506,2025-05,688005.SH,SH688005,-0.008904,8,16
20250506,2025-05,002415.SZ,SZ002415,-0.018612,9,16
20250506,2025-05,688169.SH,SH688169,-0.018612,10,16
20250506,2025-05,601233.SH,SH601233,-0.018612,11,16
20250506,2025-05,601899.SH,SH601899,-0.021612,12,16
20250506,2025-05,300476.SZ,SZ300476,-0.032473,13,16
20250506,2025-05,300012.SZ,SZ300012,-0.042257,14,16
20250506,2025-05,603259.SH,SH603259,-0.047056,15,16
20250506,2025-05,603345.SH,SH603345,-0.053128,16,16
20250603,2025-06,002415.SZ,SZ002415,0.458226,1,16
20250603,2025-06,601233.SH,SH601233,0.349266,2,16
20250603,2025-06,002371.SZ,SZ002371,0.231937,3,16
20250603,2025-06,688981.SH,SH688981,0.230218,4,16
20250603,2025-06,300012.SZ,SZ300012,0.060608,5,16
20250603,2025-06,601021.SH,SH601021,-0.015731,6,16
20250603,2025-06,600418.SH,SH600418,-0.076009,7,16
20250603,2025-06,002507.SZ,SZ002507,-0.082526,8,16
20250603,2025-06,688005.SH,SH688005,-0.114087,9,16
20250603,2025-06,300476.SZ,SZ300476,-0.140175,10,16
20250603,2025-06,603345.SH,SH603345,-0.141844,11,16
20250603,2025-06,002508.SZ,SZ002508,-0.194791,12,16
20250603,2025-06,601899.SH,SH601899,-0.323511,13,16
20250603,2025-06,603259.SH,SH603259,-0.398025,14,16
20250603,2025-06,688169.SH,SH688169,-0.400634,15,16
20250603,2025-06,601155.SH,SH601155,-0.499697,16,16
