ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
601021.SH,20220429,20220331,-0.48,-3.2497,-26.2198,-18.5154,6.1773,-53.4575
601021.SH,20220429,20220331,-0.48,-3.2497,-26.2198,-18.5154,6.1773,-53.4575
601021.SH,20220831,20220630,-1.36,-9.5071,-41.3376,-34.0888,-33.0098,-12067.5004
601021.SH,20220831,20220630,-1.36,-9.5071,-41.3376,-34.0888,-33.0098,-12067.5004
601021.SH,20221029,20220930,-1.9,-13.5517,-32.3184,-26.3023,-23.5385,-1192.8998
601021.SH,20221029,20220930,-1.9,-13.5517,-32.3184,-26.3023,-23.5385,-1192.8998
601021.SH,20230428,20221231,-3.3,-22.127,-38.4919,-36.2748,-22.9243,-7861.8901
601021.SH,20230428,20221231,-3.3,-22.127,-38.4919,-36.2748,-22.9243,-7861.8901
601021.SH,20230428,20230331,0.36,2.5608,12.6113,9.2052,63.648,181.3603
601021.SH,20230428,20230331,0.36,2.5608,12.6113,9.2052,63.648,181.3603
601021.SH,20230831,20230630,0.86,5.976,13.3887,10.4403,119.7892,167.3141
601021.SH,20231031,20230930,2.74,17.8884,21.0112,18.9847,113.5166,254.1138
601021.SH,20240430,20231231,2.31,15.3343,13.4863,12.5847,114.3378,174.3597
601021.SH,20240430,20240331,0.83,5.0162,17.6163,15.6715,33.793,127.7766
601021.SH,20240830,20240630,1.39,8.46,14.9569,13.7778,22.9719,62.2835
601021.SH,20241031,20240930,2.67,15.5637,19.0532,16.3002,13.2884,-2.7308
601021.SH,20250430,20241231,2.33,13.721,12.9384,11.3648,11.4956,0.6873
601021.SH,20250430,20250331,0.69,3.8508,16.3357,12.735,2.8847,-16.3936
601021.SH,20250829,20250630,1.2,6.6953,13.8847,11.341,4.3479,-14.1074
