ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
601919.SH,20220430,20220331,1.72,18.8204,40.5374,30.8445,62.747,78.7262
601919.SH,20220430,20220331,1.72,18.8204,40.5374,30.8445,62.747,78.7262
601919.SH,20220831,20220630,4.04,40.4832,47.1722,36.3835,51.3559,74.4635
601919.SH,20220831,20220630,4.04,40.4832,47.1722,36.3835,51.3559,74.4635
601919.SH,20221029,20220930,6.06,54.8127,45.7582,36.406,36.7471,43.741
601919.SH,20221029,20220930,6.06,54.8127,45.7582,36.406,36.7471,43.741
601919.SH,20230331,20221231,6.83,65.7285,44.2561,33.5853,17.1908,22.6592
601919.SH,20230331,20221231,6.83,65.7285,44.2561,33.5853,17.1908,22.6592
601919.SH,20230429,20230331,0.44,3.5024,22.3076,18.1232,-55.128,-74.2021
601919.SH,20230429,20230331,0.44,3.5024,22.3076,18.1232,-55.128,-74.2021
601919.SH,20230830,20230630,1.03,8.2998,22.179,21.4233,-56.4296,-74.4556
601919.SH,20231031,20230930,1.37,10.9383,19.0123,19.3216,-57.4934,-77.3343
601919.SH,20240329,20231231,1.48,12.0355,16.3538,16.1847,-55.1352,-78.2501
601919.SH,20240430,20240331,0.42,3.3862,19.3924,15.9149,1.9356,-5.2257
601919.SH,20240830,20240630,1.05,8.2982,23.4561,19.0268,10.1894,1.8685
601919.SH,20241031,20240930,2.38,18.2112,30.7597,24.8066,29.7961,72.7335
601919.SH,20250322,20241231,3.08,22.7959,29.5411,23.6875,33.2888,105.7844
601919.SH,20250430,20250331,0.74,4.8849,27.0478,22.8258,20.0504,73.1242
601919.SH,20250430,20250331,0.74,4.8849,27.0478,22.8258,20.0504,73.1242
601919.SH,20250829,20250630,1.12,7.5144,21.1439,18.5226,7.7796,3.9477
