ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
601155.SH,20220430,20220331,0.23,0.8549,19.0507,3.0141,5.9146,-5.9408
601155.SH,20220430,20220331,0.23,0.8549,19.0507,3.0141,5.9146,-5.9408
601155.SH,20220831,20220630,1.33,4.974,21.8955,7.5943,-45.891,-30.1095
601155.SH,20220831,20220630,1.33,4.974,21.8955,7.5943,-45.891,-30.1095
601155.SH,20221029,20220930,1.48,5.5509,21.289,5.9418,-43.4084,-43.0813
601155.SH,20221029,20220930,1.48,5.5509,21.289,5.9418,-43.4084,-43.0813
601155.SH,20230401,20221231,0.62,2.3467,20.0341,1.3732,-31.3704,-88.9361
601155.SH,20230401,20221231,0.62,2.3467,20.0341,1.3732,-31.3704,-88.9361
601155.SH,20230429,20230331,0.29,1.0977,21.4777,4.2984,-12.9868,29.3129
601155.SH,20230429,20230331,0.29,1.0977,21.4777,4.2984,-12.9868,29.3129
601155.SH,20230831,20230630,1.01,3.7795,19.0373,5.7799,-2.4173,-24.2791
601155.SH,20231028,20230930,1.1,4.1048,18.2466,3.7163,15.4252,-26.0082
601155.SH,20231028,20230930,1.1,4.1048,18.2466,3.7163,15.4252,-26.0082
601155.SH,20240329,20231231,0.33,1.233,19.0534,0.4696,3.2199,-47.1169
601155.SH,20240329,20231231,0.33,1.233,19.0534,0.4696,3.2199,-47.1169
601155.SH,20240430,20240331,0.1,0.3772,24.7073,1.9383,-11.6613,-65.4989
601155.SH,20240831,20240630,0.58,2.1696,21.6043,4.0125,-18.8276,-42.1587
601155.SH,20241031,20240930,0.64,2.3922,20.188,2.9484,-27.6611,-41.3066
601155.SH,20250329,20241231,0.33,1.2442,19.8038,0.809,-25.3206,2.0744
601155.SH,20250430,20250331,0.13,0.4989,29.4637,3.2457,-32.1731,34.0025
601155.SH,20250830,20250630,0.4,1.459,26.851,4.0285,-34.8154,-32.1101
