ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
300012.SZ,20220425,20220331,0.0714,2.6351,48.2352,13.4576,19.1566,19.8033
300012.SZ,20220425,20220331,0.0714,2.6351,48.2352,13.4576,19.1566,19.8033
300012.SZ,20220825,20220630,0.215,7.8039,49.2665,16.8539,20.0736,19.8223
300012.SZ,20220825,20220630,0.215,7.8039,49.2665,16.8539,20.0736,19.8223
300012.SZ,20221026,20220930,0.3953,13.7291,49.9312,18.6591,20.0745,19.814
300012.SZ,20221026,20220930,0.3953,13.7291,49.9312,18.6591,20.0745,19.814
300012.SZ,20230425,20221231,0.5403,18.1794,49.3935,18.0208,18.5171,20.9793
300012.SZ,20230425,20221231,0.5403,18.1794,49.3935,18.0208,18.5171,20.9793
300012.SZ,20230425,20230331,0.0862,2.6067,47.142,13.2585,23.0745,20.3684
300012.SZ,20230425,20230331,0.0862,2.6067,47.142,13.2585,23.0745,20.3684
300012.SZ,20230811,20230630,0.2548,7.6113,49.3665,17.1654,17.7062,18.6248
300012.SZ,20231025,20230930,0.441,12.8266,50.378,18.5759,12.9126,11.6931
300012.SZ,20240419,20231231,0.5474,15.5865,48.0556,16.5434,9.2368,0.8277
300012.SZ,20240419,20240331,0.0791,2.1171,45.278,11.0028,6.6973,-8.1235
300012.SZ,20240812,20240630,0.2606,6.9068,49.5186,15.6838,9.1968,1.9672
300012.SZ,20241025,20240930,0.4464,11.5309,50.8757,17.1083,7.7066,0.7895
300012.SZ,20250418,20241231,0.55,14.0421,49.4713,15.3334,8.5535,1.1942
300012.SZ,20250418,20250331,0.0814,1.951,46.2653,10.2074,7.9596,2.7544
300012.SZ,20250418,20250331,0.0814,1.951,46.2653,10.2074,7.9596,2.7544
300012.SZ,20250822,20250630,0.2793,6.6139,49.5862,15.6891,6.0486,7.0285
300012.SZ,20250822,20250630,0.2793,6.6139,49.5862,15.6891,6.0486,7.0285
