ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
688981.SH,20230103,41.08,41.56,40.99,41.54,41.14,0.9723,88544.57,365574.069,1.0,41.08,41.56,40.99,41.54
688981.SH,20230104,41.6,41.93,41.55,41.92,41.54,0.9148,119134.86,497422.826,1.0,41.6,41.93,41.55,41.92
688981.SH,20230105,41.8,41.91,41.6,41.87,41.92,-0.1193,95094.62,396990.563,1.0,41.8,41.91,41.6,41.87
688981.SH,20230106,41.87,42.2,41.62,41.68,41.87,-0.4538,129974.88,543924.303,1.0,41.87,42.2,41.62,41.68
688981.SH,20230109,41.8,42.05,41.43,41.53,41.68,-0.3599,110499.08,460731.198,1.0,41.8,42.05,41.43,41.53
688981.SH,20230110,41.6,41.78,41.49,41.56,41.53,0.0722,79748.0,331845.827,1.0,41.6,41.78,41.49,41.56
688981.SH,20230111,41.48,41.78,41.17,41.18,41.56,-0.9143,85208.67,353723.066,1.0,41.48,41.78,41.17,41.18
688981.SH,20230112,41.18,41.33,40.8,40.82,41.18,-0.8742,89347.67,366156.954,1.0,41.18,41.33,40.8,40.82
688981.SH,20230113,40.93,41.3,40.9,41.3,40.82,1.1759,78855.74,324026.861,1.0,40.93,41.3,40.9,41.3
688981.SH,20230116,41.21,42.3,41.1,41.92,41.3,1.5012,171816.15,719329.918,1.0,41.21,42.3,41.1,41.92
688981.SH,20230117,42.13,42.45,41.91,42.1,41.92,0.4294,138559.25,584954.175,1.0,42.13,42.45,41.91,42.1
688981.SH,20230118,42.15,42.24,41.94,42.0,42.1,-0.2375,80878.96,339988.428,1.0,42.15,42.24,41.94,42.0
688981.SH,20230119,41.88,42.53,41.85,42.5,42.0,1.1905,130139.5,550273.882,1.0,41.88,42.53,41.85,42.5
688981.SH,20230120,42.48,42.81,42.41,42.59,42.5,0.2118,121936.75,519713.05,1.0,42.48,42.81,42.41,42.59
688981.SH,20230130,42.7,43.08,42.37,42.37,42.59,-0.5166,201348.75,857908.188,1.0,42.7,43.08,42.37,42.37
688981.SH,20230131,42.3,42.6,41.67,41.86,42.37,-1.2037,154297.94,649901.286,1.0,42.3,42.6,41.67,41.86
688981.SH,20230201,41.99,43.55,41.96,43.46,41.86,3.8223,313002.98,1342460.728,1.0,41.99,43.55,41.96,43.46
688981.SH,20230202,43.61,43.95,43.16,43.42,43.46,-0.092,258361.15,1125250.36,1.0,43.61,43.95,43.16,43.42
688981.SH,20230203,43.2,43.62,42.81,43.33,43.42,-0.2073,156674.54,675367.687,1.0,43.2,43.62,42.81,43.33
688981.SH,20230206,43.09,43.26,42.75,43.0,43.33,-0.7616,116904.73,502547.721,1.0,43.09,43.26,42.75,43.0
688981.SH,20230207,42.91,43.18,42.91,43.18,43.0,0.4186,117852.96,507375.163,1.0,42.91,43.18,42.91,43.18
688981.SH,20230208,43.2,43.4,42.62,42.62,43.18,-1.2969,112178.76,481943.92,1.0,43.2,43.4,42.62,42.62
688981.SH,20230209,42.5,43.6,42.45,43.6,42.62,2.2994,213292.64,920811.705,1.0,42.5,43.6,42.45,43.6
688981.SH,20230210,43.09,43.64,42.86,43.07,43.6,-1.2156,196437.36,848693.588,1.0,43.09,43.64,42.86,43.07
688981.SH,20230213,43.08,43.43,42.8,42.98,43.07,-0.209,170067.42,733373.406,1.0,43.08,43.43,42.8,42.98
688981.SH,20230214,43.01,43.47,42.83,43.03,42.98,0.1163,121553.66,523658.579,1.0,43.01,43.47,42.83,43.03
688981.SH,20230215,43.03,43.1,42.73,42.86,43.03,-0.3951,112551.93,482848.991,1.0,43.03,43.1,42.73,42.86
688981.SH,20230216,42.88,43.19,41.8,41.98,42.86,-2.0532,206392.65,878976.513,1.0,42.88,43.19,41.8,41.98
688981.SH,20230217,42.0,42.45,41.78,41.81,41.98,-0.405,156488.83,658552.238,1.0,42.0,42.45,41.78,41.81
688981.SH,20230220,41.98,42.26,41.61,42.26,41.81,1.0763,108396.86,455581.666,1.0,41.98,42.26,41.61,42.26
688981.SH,20230221,42.27,42.57,42.2,42.35,42.26,0.213,97090.61,411308.482,1.0,42.27,42.57,42.2,42.35
688981.SH,20230222,42.39,42.53,42.2,42.3,42.35,-0.1181,73652.17,311850.66,1.0,42.39,42.53,42.2,42.3
688981.SH,20230223,42.28,42.45,42.06,42.16,42.3,-0.331,71845.73,303440.363,1.0,42.28,42.45,42.06,42.16
688981.SH,20230224,42.15,42.32,41.94,41.97,42.16,-0.4507,81071.4,341174.623,1.0,42.15,42.32,41.94,41.97
688981.SH,20230227,41.94,42.06,41.57,41.63,41.97,-0.8101,90787.08,379209.108,1.0,41.94,42.06,41.57,41.63
688981.SH,20230228,41.78,42.2,41.53,42.02,41.63,0.9368,132822.53,555554.01,1.0,41.78,42.2,41.53,42.02
688981.SH,20230301,41.99,42.46,41.92,42.37,42.02,0.8329,137023.73,579830.571,1.0,41.99,42.46,41.92,42.37
688981.SH,20230302,42.41,42.65,42.25,42.46,42.37,0.2124,114671.11,487040.565,1.0,42.41,42.65,42.25,42.46
688981.SH,20230303,42.88,43.88,42.88,43.32,42.46,2.0254,310281.64,1344302.283,1.0,42.88,43.88,42.88,43.32
688981.SH,20230306,43.12,43.84,42.9,43.4,43.32,0.1847,215695.78,935445.71,1.0,43.12,43.84,42.9,43.4
688981.SH,20230307,43.32,43.66,42.68,42.73,43.4,-1.5438,175736.04,758548.544,1.0,43.32,43.66,42.68,42.73
688981.SH,20230308,42.7,42.93,42.56,42.84,42.73,0.2574,108047.96,462082.471,1.0,42.7,42.93,42.56,42.84
688981.SH,20230309,42.8,43.88,42.8,43.27,42.84,1.0037,235763.88,1023553.705,1.0,42.8,43.88,42.8,43.27
688981.SH,20230310,43.0,43.67,42.73,43.0,43.27,-0.624,199760.53,863796.135,1.0,43.0,43.67,42.73,43.0
688981.SH,20230313,43.0,43.74,42.56,43.6,43.0,1.3953,216498.27,935642.557,1.0,43.0,43.74,42.56,43.6
688981.SH,20230314,43.65,48.88,43.38,48.01,43.6,10.1147,1363549.96,6388771.484,1.0,43.65,48.88,43.38,48.01
688981.SH,20230315,48.01,50.95,47.88,48.88,48.01,1.8121,1275671.45,6286627.704,1.0,48.01,50.95,47.88,48.88
688981.SH,20230316,48.77,50.5,48.74,49.31,48.88,0.8797,951214.36,4724742.584,1.0,48.77,50.5,48.74,49.31
688981.SH,20230317,50.1,52.98,49.1,52.57,49.31,6.6112,1401297.77,7194787.634,1.0,50.1,52.98,49.1,52.57
688981.SH,20230320,52.6,53.66,51.66,51.81,52.57,-1.4457,1005251.97,5284002.495,1.0,52.6,53.66,51.66,51.81
688981.SH,20230321,51.81,52.66,50.95,52.11,51.81,0.579,674449.12,3490710.416,1.0,51.81,52.66,50.95,52.11
688981.SH,20230322,51.95,52.5,51.36,52.3,52.11,0.3646,588231.42,3054583.017,1.0,51.95,52.5,51.36,52.3
688981.SH,20230323,52.0,53.38,50.6,52.32,52.3,0.0382,908342.22,4713726.596,1.0,52.0,53.38,50.6,52.32
688981.SH,20230324,52.0,52.1,50.69,50.8,52.32,-2.9052,676051.17,3463874.78,1.0,52.0,52.1,50.69,50.8
688981.SH,20230327,50.5,50.77,48.89,49.5,50.8,-2.5591,649112.84,3227686.408,1.0,50.5,50.77,48.89,49.5
688981.SH,20230328,49.75,50.12,48.71,49.1,49.5,-0.8081,454941.14,2249830.834,1.0,49.75,50.12,48.71,49.1
688981.SH,20230329,49.19,50.32,47.98,49.36,49.1,0.5295,708926.22,3496451.834,1.0,49.19,50.32,47.98,49.36
688981.SH,20230330,49.02,50.19,48.8,49.08,49.36,-0.5673,457795.61,2264069.97,1.0,49.02,50.19,48.8,49.08
688981.SH,20230331,49.1,50.65,48.91,50.11,49.08,2.0986,504834.23,2519438.897,1.0,49.1,50.65,48.91,50.11
688981.SH,20230403,50.33,54.6,49.87,54.58,50.11,8.9204,1339895.88,7028142.062,1.0,50.33,54.6,49.87,54.58
688981.SH,20230404,54.25,57.99,54.01,56.66,54.58,3.8109,1674923.59,9472351.941,1.0,54.25,57.99,54.01,56.66
688981.SH,20230406,57.5,61.61,57.28,59.07,56.66,4.2534,1874795.9,11217395.668,1.0,57.5,61.61,57.28,59.07
688981.SH,20230407,59.83,60.9,58.14,59.9,59.07,1.4051,1205414.06,7196995.176,1.0,59.83,60.9,58.14,59.9
688981.SH,20230410,60.3,63.54,59.6,60.0,59.9,0.1669,1242694.69,7623833.531,1.0,60.3,63.54,59.6,60.0
688981.SH,20230411,60.0,61.58,57.33,58.43,60.0,-2.6167,1090664.38,6464638.063,1.0,60.0,61.58,57.33,58.43
688981.SH,20230412,57.9,60.5,57.75,59.3,58.43,1.489,751776.6,4475622.57,1.0,57.9,60.5,57.75,59.3
688981.SH,20230413,58.7,59.22,57.5,58.0,59.3,-2.1922,609875.83,3550090.617,1.0,58.7,59.22,57.5,58.0
688981.SH,20230414,58.67,62.3,57.38,62.26,58.0,7.3448,1260910.03,7626678.711,1.0,58.67,62.3,57.38,62.26
688981.SH,20230417,62.5,63.68,61.71,63.0,62.26,1.1886,926839.46,5814764.382,1.0,62.5,63.68,61.71,63.0
688981.SH,20230418,62.22,62.25,59.61,60.9,63.0,-3.3333,829262.68,5036517.706,1.0,62.22,62.25,59.61,60.9
688981.SH,20230419,60.99,64.38,60.15,62.21,60.9,2.1511,1056699.29,6578214.899,1.0,60.99,64.38,60.15,62.21
688981.SH,20230420,61.84,66.5,61.84,66.48,62.21,6.8638,1317248.09,8572883.366,1.0,61.84,66.5,61.84,66.48
688981.SH,20230421,66.13,66.33,62.11,62.8,66.48,-5.5355,1002269.09,6444984.946,1.0,66.13,66.33,62.11,62.8
688981.SH,20230424,62.5,64.5,60.11,63.05,62.8,0.3981,846989.9,5289122.673,1.0,62.5,64.5,60.11,63.05
688981.SH,20230425,63.06,64.57,60.85,61.37,63.05,-2.6646,872287.53,5434677.427,1.0,63.06,64.57,60.85,61.37
688981.SH,20230426,60.7,61.06,56.7,58.16,61.37,-5.2306,1066286.9,6263921.423,1.0,60.7,61.06,56.7,58.16
