ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
601899.SH,20220412,20220331,0.233,8.189,17.3184,11.4485,36.3532,143.8807
601899.SH,20220412,20220331,0.233,8.189,17.3184,11.4485,36.3532,143.8807
601899.SH,20220813,20220630,0.48,17.0099,17.1353,11.6493,20.5657,89.9531
601899.SH,20220813,20220630,0.48,17.0099,17.1353,11.6493,20.5657,89.9531
601899.SH,20221022,20220930,0.635,21.455,15.5984,10.1316,20.8407,47.4651
601899.SH,20221022,20220930,0.635,21.455,15.5984,10.1316,20.8407,47.4651
601899.SH,20230325,20221231,0.76,25.0561,15.7381,9.1619,20.0915,27.8773
601899.SH,20230325,20221231,0.76,25.0561,15.7381,9.1619,20.0915,27.8773
601899.SH,20230428,20230331,0.207,5.8915,15.5293,9.1759,15.7081,-11.1364
601899.SH,20230428,20230331,0.207,5.8915,15.5293,9.1759,15.7081,-11.1364
601899.SH,20230826,20230630,0.391,10.9664,14.6506,8.5364,13.4958,-18.4313
601899.SH,20231028,20230930,0.615,16.821,15.1582,8.9206,10.1947,-3.0131
601899.SH,20240323,20231231,0.8,21.5012,15.8073,9.0454,8.5356,5.3756
601899.SH,20240423,20240331,0.238,5.5855,16.6051,10.229,-0.2246,15.0502
601899.SH,20240824,20240630,0.574,12.8955,19.1527,12.2831,0.0551,46.4198
601899.SH,20241019,20240930,0.923,20.1577,19.5316,12.8814,2.3949,50.681
601899.SH,20250322,20241231,1.21,25.9213,20.3741,12.9735,3.489,51.7589
601899.SH,20250412,20250331,0.383,7.1167,22.886,15.7923,5.5521,62.3867
601899.SH,20250827,20250630,0.877,16.5272,23.7509,17.08,11.4976,54.4097
